"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"BUV","BULLS PORTFÖY VOLTRAN SERBEST (TL) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"BV1","BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,3772","-","-","-","-","-","-"
"BIS","BV PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","2,3551","5,1018","20,6281","19,2905","-","-","-"
"RUT","BV PORTFÖY ROBOTİK VE UZAY TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,6511","15,8847","28,4162","28,7852","-","-","-"
"BLD","DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON","Serbest Şemsiye Fonu","4,0088","-","-","-","-","-","-"
"BRF","DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"DKL","DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2369","5,7820","-","-","-","-","-"
"BCK","DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,5578","-","-","-","-","-","-"
"DID","DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-","-","-","-","-","-","-"
"DL2","DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,8286","12,4128","24,9546","23,6533","-","-","-"
"MTG","DENİZ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOGUN FON)","Serbest Şemsiye Fonu","0,8907","8,2467","17,5708","16,2053","-","-","-"
"SSK","DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,8500","-0,3819","9,8836","8,5531","-","-","-"
"EDT","DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON","Serbest Şemsiye Fonu","3,9037","12,3480","25,2095","23,9240","-","-","-"
